无人机信息
无人机编号,航向(度),飞行速度(m/s),起始X(m),起始Y(m),起始Z(m)
FY1,288.4,140,17800,0,1800
FY2,350.1,140,12000,1400,1400
FY3,11.3,140,6000,-3000,700
FY4,339.6,140,11000,2000,1800
FY5,23.4,140,13000,-2000,1300


烟幕弹信息
无人机编号,投放点X(m),投放点Y(m),投放点Z(m),起爆点X(m),起爆点Y(m),起爆点Z(m),有效遮蔽时长(s)
FY1,17866.7,-200.0,1800.0,17866.7,-200.0,1800.0,20
FY1,17995.6,-586.8,1800.0,17995.6,-586.8,1800.0,20
FY2,13621.6,1116.2,1400.0,13621.6,1116.2,1400.0,20
FY2,13938.5,1060.8,1400.0,13938.5,1060.8,1400.0,20
FY2,14252.1,1005.9,1400.0,14252.1,1005.9,1400.0,20
FY3,9508.5,-2298.3,700.0,9508.5,-2298.3,700.0,20
FY3,9825.1,-2235.0,700.0,9825.1,-2235.0,700.0,20
FY3,10135.7,-2172.9,700.0,10135.7,-2172.9,700.0,20
FY4,12876.9,1302.9,1800.0,12876.9,1302.9,1800.0,20
FY4,13183.3,1189.1,1800.0,13183.3,1189.1,1800.0,20
FY4,13486.0,1076.6,1800.0,13486.0,1076.6,1800.0,20
FY5,14248.6,-1459.0,1300.0,14248.6,-1459.0,1300.0,20
FY5,14550.2,-1328.2,1300.0,14550.2,-1328.2,1300.0,20
FY5,14849.1,-1198.7,1300.0,14849.1,-1198.7,1300.0,20
